# from https://api.keyman.com/search/2.0/
# accessed 2026-03-23
ID	Name	Lang codes	Input Script ISO	Output Script ISO	Downloads	Total Downloads	Platform Support
keyman_basic_kbdinmar	Marathi Basic	mr	Deva	Deva	191	4882	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdinori	Oriya Basic	or	Orya	Orya	133	3618	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdinpun	Punjabi Basic	pa	Guru	Guru	41	1137	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdintam	Tamil Basic	ta	Taml	Taml	258	4877	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdintel	Telugu Basic	te	Telu	Telu	63	1955	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdinuk2	Inuktitut - Naqittaut Basic	iu,iu	Cans	Cans	53	1406	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdir	Irish Basic	en	Latn	Latn	13	1183	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdit	Italian Basic	it	Latn	Latn	39	1049	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdit142	Italian (142) Basic	it	Latn	Latn	27	1076	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdiulat	Inuktitut - Latin Basic	iu,iu	Cans	Cans	64	1115	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdjav	Javanese Basic	jv	Latn	Latn	31	1672	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdkaz	Kazakh Basic	kk	Cyrl	Cyrl	33	1224	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdkhmr	Khmer Basic	km	Khmr	Khmr	44	1142	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdkni	Khmer (NIDA) Basic	km	Khmr	Khmr	1395	21204	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdkurd	Central Kurdish Basic	ckb	Arab	Arab	457	10754	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdkyr	Kyrgyz Cyrillic Basic	ky	Cyrl	Cyrl	34	1293	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdla	Latin American Basic	es	Latn	Latn	63	1442	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdlao	Lao Basic	lo	Laoo	Laoo	107	6937	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdlisub	Lisu (Basic) Basic	atb,lis,lpo,nxq	Latn	Latn	79	905	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdlisus	Lisu (Standard) Basic	atb,lis,lpo,nxq	Latn	Latn	81	907	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdlt	Lithuanian IBM Basic	lt	Latn	Latn	34	1023	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdlt1	Lithuanian Basic	lt	Latn	Latn	24	1826	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdlt2	Lithuanian Standard Basic	lt	Latn	Latn	58	1083	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdlv	Latvian Basic	lv	Latn	Latn	42	852	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdlv1	Latvian (QWERTY) Basic	lv	Latn	Latn	40	1888	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdlvst	Latvian (Standard) Basic	lv	Latn	Latn	48	1674	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdmac	Macedonian (FYROM) Basic	mk	Cyrl	Cyrl	27	4117	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdmacst	Macedonian (FYROM) - Standard Basic	mk	Cyrl	Cyrl	20	956	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdmaori	Maori Basic	mi	Latn	Latn	88	1399	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdmlt47	Maltese 47-Key Basic	mt	Latn	Latn	59	1096	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdmlt48	Maltese 48-Key Basic	mt	Latn	Latn	20	4162	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdmon	Mongolian Cyrillic Basic	khk			590	22060	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdmonmo	Mongolian (Mongolian Script) Basic	khk,mn	Cyrl	Cyrl	160	9039	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdmonst	Traditional Mongolian (Standard) Basic	khk			50	3035	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdmyan	Myanmar (Phonetic order) Basic	my	Mymr	Mymr	155	9640	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdne	Dutch Basic	nl	Latn	Latn	158	3476	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdnepr	Nepali Basic	ne	Deva	Deva	108	3390	windows,macos,linux,desktopWeb,ios,android,mobileWeb
keyman_basic_kbdnko	N’Ko Basic	bm,dyu,emk,man,nqo	Nkoo	Nkoo	60	1325	windows,macos,linux,desktopWeb,ios,android,mobileWeb
