# Source: https://ldml.api.sil.org/langtags.json (SIL langtags dataset, public domain)
# Docs: https://github.com/silnrsi/langtags/blob/master/doc/langtags.md
iso639_3	iso639_3extra	names
akl		Akeanon;Aklan;Aklano;Aklanon-Bisayan;Inakeanon;Panay;Qinakłanón
akm		Ba;Bo
ako		Akoerio;Akuliyo;Akuri;Akurijo;Akuriyo;Oyaricoulet;Triometesem;Triometesen;Wama;Wayaricuri
akp		Akpafu-Lolobi;Lolobi-Akpafu;Mawu;Siwusi
akq		
akr		Araki;Ravoraki
aks		Akasele;Akaselecɛ;Bikaselebíyáá;Cemba;Chamba;Kamba;Kasele;Kassele;Tchamba;àkasìlìmí
akt		
aku		Aakuem;Anyar;Oakuem;Okum
akv		Ashvado;Axvax;Ašwałi;Ašwałi mic̣i;Ghahvalal;’Aqwalazul
akw		
akx		Kede
aky		Kol
akz		Albaamo;Albaamo innaaɬiilka;Alibamu
ala		Arago;Aragu;Argo;Idoma Nokwu
alc		Alacalouf;Alacaluf;Alacalufe;Alaculoof;Alaculuf;Alakaluf;Alikaluf;Alikhoolip;Alikuluf;Alilkoolif;Alokolup;Alooculoof;Alookooloop;Alucaluf;Alukoeluf;Alukulup;Halakwulup;Kaweskar;Kawesqar
ald		Aladian;Alladyan;Allagia;Allagian
ale		Anangax;Unangam tunnu;Unangan;Unangany;Unangax;Unanghan
ale		Anangax;Unangam tunnu;Unangan;Unangany;Unangax;Unanghan
alf		Alege;Alegi;Eligi;Ugbe;Uge
alh		Alaua;Allaura;Allawa;Allowa;Allowiri;Allua;Alowa;Galawa;Galleewo;Kallana;Kallaua;Leealowa;Warliburru
ali		Okim
alj		
alk		Halak;Harak;Harlak;Hrlak
all		Aalan;Alan;Alanmar;Alar;Allan;Chatans
alm		Aje;Varavara
aln		Geg;Gegnisht;Gegnisht-Shqyp;Gheg;Gheg Albanian;Guegue;Shopni;Shqip;Shqyp
aln		Geg;Gegnisht;Gegnisht-Shqyp;Gheg;Gheg Albanian;Guegue;Shopni;Shqip;Shqyp
alo		
alp		Patasiwa Alfoeren;Sapalewa
alq		Algonkin;Anicinàbemowin
alr		Aliutor;Alyutor;Olyutor
alt		Altai;Oirot;Oyrot;Southern Altai
alt		Altai;Oirot;Oyrot;Southern Altai
alt		Altai;Oirot;Oyrot;Southern Altai
alu		'Are'are;ɁAreɂare;’Areka;’Are’are
alw		Wanbasana
alx		Alatil;Amol;Aru;Eru;Oru
aly		Aljawara;Alyawarra;Alyawarre;Iliaura;Yowera
alz		Aloro;Alua;Alulu;Dho Alur;DhuAlur;Dhʉ Alur;Jo Alur;Lur;Luri
amh		Beta Israel
amh		Beta Israel
amh		Beta Israel
ama		Amanage;Amanaié;Amanajé;Amanajó;Amanyé;Ararandeuara;Manajó;Mananyé;Manaxó;Manayé;Manaze;Manazewá;Manazo;Turiwa
amb		Timap
amc		Amaguaco;Amahuaka;Amajuaca;Amawaca;Amawaka;Amawáka;Amenguaca;Ameuhaque;Ipitineri;Ipitnere;Sayaco;Sayacu;Yora
