Language Code	Glottocode	Display Name	Endonym	Modality	Biggest Script	Ethnologue Vitality 2013	Ethnologue Vitality 2025	Eth Digital Support	Adjusted Populaiton	Population	Parent Language	Parent Glottocode	Recommendation	Recommendation Reason
esl	egyp1238	Egypt Sign Language		Sign	Zxxx	Vigorous	Stable	Still	0	474,000		arab1398	Yes	
kge	kome1238	Komering	Basa Kumoring	Spoken & Written	Latn	Threatened	Endangered	Ascending	0	470,000		pesi1234	Yes	
sgd	suri1273	Surigaonon			Latn	Vigorous	Endangered	Ascending	0	468,062		suri1274	Yes	
szl	sile1253	Silesian	ślōnski	Spoken & Written	Latn	Vigorous	Stable	Vital	0	467,145		poli1262	Yes	
doc	nort2735	Northern Dong			Latn	Threatened	Endangered	Still	0	463,000		nort2734	Yes	
xmc	makh1262	Makhuwa-Marrevone			Latn	Vigorous	Stable	Emerging	0	463,000		maku1279	Yes	
gkp	guin1254	Guinea Kpelle			Latn	Developing	Stable	Ascending	0	460,000	kpe	kpel1252	Possibly	But probably want to use macrolanguage
lsm	saam1283	Saamia			Latn	Developing	Institutional	Emerging	0	460,000	luy	saam1286	Yes, with caveat	But probably want to use macrolanguage
pnt	pont1253	Pontic	ποντιακά		Grek	Vigorous	Stable	Ascending	0	459,444		pont1257	Yes	
plk	kohi1248	Kohistani Shina			Arab	Vigorous	Stable	Emerging	0	458,000		kohi1247	Yes	
mlt	malt1254	Maltese	Malti	Spoken & Written	Latn	National	Institutional	Vital	0	455,598		malt1259	Yes	
lch	luch1239	Luchazi			Latn	Developing	Stable	Emerging	0	455,400		ngan1306	Yes	
nzu	teke1279	Teke-Nzikou			Latn	Vigorous	Stable	Still	0	454,000		teke1278	Yes	
oss	iron1242	Ossetian	Ирон ӕвзаг	Spoken & Written	Cyrl	Developing	Stable	Vital	0	453,957		osse1243	Yes	
rtw	rath1243	Rathawi			Deva	Developing	Stable	Still	0	451,000		rath1244	Yes	
